question,question_cyrl,answers,answers_cyrl,correct_answer,image_url,category,time_limit,audio_url,audio_url_cyrl,explanation_text,explanation_text_cyrl
Ikkinchi daraja tamirlash yo'li bilan tiklangan shinalarni M1 toifadagi avtotransport vositalariga o'rnatishga ruxsat etiladimi?,Иккинчи даража таъмирлаш йўли билан тикланган шиналарни М1 тоифадаги автотранспорт воситаларига ўрнатишга рухсат этиладими?,"{""Harakat svetofor bilan tartibga solib turiladigan piyodalar o'tish joyini"",""Velosiped yo'lkasining qatnov qismini kesib o'tadigan joyni"",""Piyodalar yo'lkasining qatnov qismini kesib o'tadigan joyni""}","{""Ҳаракат светофор билан тартибга солиб туриладиган пиёдалар ўтиш жойини"",""Велосипед йўлкасининг қатнов қисмини кесиб ўтадиган жойни"",""Пиёдалар йўлкасининг қатнов қисмини кесиб ўтадиган жойни""}",1,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Quyidagi chiziq nimani bildiradi?,Қуйидаги чизиқ нимани билдиради?,"{""Avtomobillar o'tadigan yo'lni kesib o'tuvchi piyodalarni o'tkazib yuborish uchun to'xtash majburiy bo'lgan joy"",""Velosiped yo'lkasi yo'lni kesib o'tuvchi joy"",""Boshqarilmaydigan piyodalar o'tish joyi""}","{""Автомобиллар ўтадиган йўлни кесиб ўтувчи пиёдаларни ўтказиб юбориш учун тўхташ мажбурий бўлган жой"",""Велосипед йўлкаси йўлни кесиб ўтувчи жой"",""Бошқарилмайдиган пиёдалар ўтиш жойи""}",1,https://ptest.uz/images/21893fb2-1aac-430b-ad9f-83bc4439e907.webp,Bilet 31-40,300,,,,
Quvib o'tish qaysi hollardan taqiqlanadi?,Қувиб ўтиш қайси ҳоллардан тақиқланади?,"{""Temir yo'l kesishmalarida va ulargacha 100 m dan kam masofa qolganda"",""Temir yo'l kesishmalarida va ulargacha 100 m dan ko'p masofa qolganda"",""Temir yo'l kesishmalarida va aholi yashaydigan joylardan tashqarida ulardan 100 m ko'p masofa qolganda""}","{""Темир йўл кесишмаларида ва уларгача 100 м дан кам масофа қолганда"",""Темир йўл кесишмаларида ва уларгача 100 м дан кўп масофа қолганда"",""Темир йўл кесишмаларида ва аҳоли яшайдиган жойлардан ташқарида улардан 100 м кўп масофа қолганда""}",0,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Transport vositalari chorrahani quyidagi tartibda kesib o'tadilar:,Транспорт воситалари чорраҳани қуйидаги тартибда кесиб ўтадилар:,"{""10 m"",""15 m"",""30 m"",""40 m""}","{""10 м"",""15 м"",""30 м"",""40 м""}",1,https://ptest.uz/images/ae5f76eb-351a-4dd1-b709-cd1606490c90.webp,Bilet 31-40,300,,,,
Ko'rsatilgan vaziyatda o'ngga burilar ekan haydovchi qanday yo'l tutishi kerak?,Кўрсатилган вазиятда ўнгга бурилар экан ҳайдовчи қандай йўл тутиши керак?,"{""Ustunlik huquqidan foydalanib, tovushli xabar berishi va belgilangan yo'nalishda harakatni davom ettirishi"",""Harakat tezligini pasaytirishi va alohida ehtiyotkorlik bilan yo'lda davom etishi"",""Qatnov qismidan o'tuvchi piyodalarga yo'l berishi""}","{""Устунлик ҳуқуқидан фойдаланиб, товушли хабар бериши ва белгиланган йўналишда ҳаракатни давом эттириши"",""Ҳаракат тезлигини пасайтириши ва алоҳида эҳтиёткорлик билан йўлда давом этиши"",""Қатнов қисмидан ўтувчи пиёдаларга йўл бериши""}",2,https://ptest.uz/images/aa50c2a4-7c2f-4737-a575-d03071dd7de1.webp,Bilet 31-40,300,,,,
Transport vositasi texnik tavsifnomasida ko'rsatilgan yuqori tezlikdan oshirilishi mumkinmi?,Транспорт воситаси техник тавсифномасида кўрсатилган юқори тезликдан оширилиши мумкинми?,"{""Yo'llardan foydalanish uchun masul bo'lgan idoralar tomonidan oshirilishi mumkin"",""Aholi yashaydigan joylardan tashqaridagi yo'llarda oshirilishi mumkin. Bunday yo'l qismlarida «yuqori tezlik cheklangan» belgisi o'rnatiladi"",""Oshirilishi mumkin emas""}","{""Йўллардан фойдаланиш учун масъул бўлган идоралар томонидан оширилиши мумкин"",""Аҳоли яшайдиган жойлардан ташқаридаги йўлларда оширилиши мумкин. Бундай йўл қисмларида «юқори тезлик чекланган» белгиси ўрнатилади"",""Оширилиши мумкин эмас""}",2,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Qaysi rasmda harakatlanishning to'g'ri yo'nalishi ko'rsatilgan?,Қайси расмда ҳаракатланишнинг тўғри йўналиши кўрсатилган?,"{""Birinchida"",""Ikkinchida"",""Ikkalasida""}","{""Биринчида"",""Иккинчида"",""Иккаласида""}",1,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Qaysi rasmda harakatlanishning to'g'ri yo'nalishi ko'rsatilgan?,Қайси расмда ҳаракатланишнинг тўғри йўналиши кўрсатилган?,"{""Chapdagi rasmda"",""Ikkala rasmda"",""O'ngdagi rasmda"",""Ikkala rasmda noto'g'ri to'xtatdi""}","{""Чапдаги расмда"",""Иккала расмда"",""Ўнгдаги расмда"",""Иккала расмда нотўғри тўхтатди""}",3,https://ptest.uz/images/3399d49d-9f95-4a87-80a6-8f6bc92ceb72.webp,Bilet 31-40,300,,,,
Quyidagi chiziq nimani bildiradi?,Қуйидаги чизиқ нимани билдиради?,"{""Avtomobillar o'tadigan yo'lni kesib o'tuvchi piyodalarni o'tkazib yuborish uchun to'xtash majburiy bo'lgan joy"",""Velosiped yo'lkasi yo'lni kesib o'tuvchi joy"",""Boshqarilmaydigan piyodalar o'tish joyi""}","{""Автомобиллар ўтадиган йўлни кесиб ўтувчи пиёдаларни ўтказиб юбориш учун тўхташ мажбурий бўлган жой"",""Велосипед йўлкаси йўлни кесиб ўтувчи жой"",""Бошқарилмайдиган пиёдалар ўтиш жойи""}",1,https://ptest.uz/images/21893fb2-1aac-430b-ad9f-83bc4439e907.webp,Bilet 31-40,300,,,,
Transport vositalari chorrahani quyidagi tartibda kesib o'tadilar:,Транспорт воситалари чорраҳани қуйидаги тартибда кесиб ўтадилар:,"{""Birinchi bo'lib"",""Ikkinchi bo'lib"",""Oxirgi bo'lib""}","{""Биринчи бўлиб"",""Иккинчи бўлиб"",""Охирги бўлиб""}",1,https://ptest.uz/images/82e4d04a-835f-4649-b09e-216b9914f093.webp,Bilet 31-40,300,,,,
Svetoforning qaysi ishorasida avtomobilning haydovchisi qayrilishni tugallashi mumkin?,Светофорнинг қайси ишорасида автомобилнинг ҳайдовчиси қайрилишни тугаллаши мумкин?,"{""Qizilda"",""Yashilda"",""Istalganda""}","{""Қизилда"",""Яшилда"",""Исталганда""}",1,https://ptest.uz/images/7f7443d6-5337-4adc-8b28-423a0b3b509f.webp,Bilet 31-40,300,,,,
Aholi yashaydigan yo'llardan tashqarida yo'lning qatnov qismida haydovchilar transport vositalarini qaerda harakatlantirishlari kerak?,Аҳоли яшайдиган йўллардан ташқарида йўлнинг қатнов қисмида ҳайдовчилар транспорт воситаларини қаерда ҳаракатлантиришлари керак?,"{""Iloji boricha qatnov qismining o'ng chetiga yaqinroq joyda"",""Xohlagan bo'lak bo'ylab"",""Faqat o'ng bo'lak bo'ylab. Chap bo'lak o'tish faqat chapga burish va burilish uchun ruxsat etiladi""}","{""Иложи борича қатнов қисмининг ўнг четига яқинроқ жойда"",""Хоҳлаган бўлак бўйлаб"",""Фақат ўнг бўлак бўйлаб. Чап бўлак ўтиш фақат чапга буриш ва бурилиш учун рухсат этилади""}",0,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Transport vositasi texnik tavsifnomasida ko'rsatilgan yuqori tezlikdan oshirilishi mumkinmi?,Транспорт воситаси техник тавсифномасида кўрсатилган юқори тезликдан оширилиши мумкинми?,"{""Yo'llardan foydalanish uchun masul bo'lgan idoralar tomonidan oshirilishi mumkin"",""Aholi yashaydigan joylardan tashqaridagi yo'llarda oshirilishi mumkin. Bunday yo'l qismlarida «yuqori tezlik cheklangan» belgisi o'rnatiladi"",""Oshirilishi mumkin emas""}","{""Йўллардан фойдаланиш учун масъул бўлган идоралар томонидан оширилиши мумкин"",""Аҳоли яшайдиган жойлардан ташқаридаги йўлларда оширилиши мумкин. Бундай йўл қисмларида «юқори тезлик чекланган» белгиси ўрнатилади"",""Оширилиши мумкин эмас""}",2,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
"Agar transport vositasida «Tezlik cheklangan» taniqli belgisi o'rnatilgan bo'lsa, bu transport vositasining haydovchisiga:","Агар транспорт воситасида «Тезлик чекланган» таниқли белгиси ўрнатилган бўлса, бу транспорт воситасининг ҳайдовчисига:","{""Belgida ko'rsatilgan tezlikdan oshirishga faqat tezlik tegishli yo'l belgisi o'rnatilib oshirilgan yo'l qismlarida ruxsat beriladi"",""Belgida ko'rsatilgan tezlikdan oshirish taqiqlanadi""}","{""Белгида кўрсатилган тезликдан оширишга фақат тезлик тегишли йўл белгиси ўрнатилиб оширилган йўл қисмларида рухсат берилади"",""Белгида кўрсатилган тезликдан ошириш тақиқланади""}",1,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Ko'rsatilgan vaziyatda o'ngga burilar ekan haydovchi qanday yo'l tutishi kerak?,Кўрсатилган вазиятда ўнгга бурилар экан ҳайдовчи қандай йўл тутиши керак?,"{""Ustunlik huquqidan foydalanib, tovushli xabar berishi va belgilangan yo'nalishda harakatni davom ettirishi"",""Harakat tezligini pasaytirishi va alohida ehtiyotkorlik bilan yo'lda davom etishi"",""Qatnov qismidan o'tuvchi piyodalarga yo'l berishi""}","{""Устунлик ҳуқуқидан фойдаланиб, товушли хабар бериши ва белгиланган йўналишда ҳаракатни давом эттириши"",""Ҳаракат тезлигини пасайтириши ва алоҳида эҳтиёткорлик билан йўлда давом этиши"",""Қатнов қисмидан ўтувчи пиёдаларга йўл бериши""}",2,https://ptest.uz/images/aa50c2a4-7c2f-4737-a575-d03071dd7de1.webp,Bilet 31-40,300,,,,
Avtomagistrallarda transport vositalarining atayin to'xtashi qaysi joylarda ruxsat etilgan?,Автомагистралларда транспорт воситаларининг атайин тўхташи қайси жойларда рухсат этилган?,"{""Yo'lning qatnov qismining chetki o'ng bo'lagida"",""Yo'lning 100 m dan ko'proq qismi ko'rinadigan va harakat bo'laklari soni to'rttadan ortiq bo'lgan joylarda"",""To'xtab turish uchun «To'xtab turish joyi» yoki «Dam olish joyi» belgilari bilan belgilangan maxsus maydonchalarda""}","{""Йўлнинг қатнов қисмининг четки ўнг бўлагида"",""Йўлнинг 100 м дан кўпроқ қисми кўринадиган ва ҳаракат бўлаклари сони тўрттадан ортиқ бўлган жойларда"",""Тўхтаб туриш учун «Тўхтаб туриш жойи» ёки «Дам олиш жойи» белгилари билан белгиланган махсус майдончаларда""}",2,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Reaktsiya va diqqatni pasaytiruvchi dori-darmonlar tasirida bo'lgan haydovchiga transport vositalarini boshqarishga ruxsat etiladimi?,Реакция ва диққатни пасайтирувчи дори-дармонлар таъсирида бўлган ҳайдовчига транспорт воситаларини бошқаришга рухсат этиладими?,"{""Taqiqlanadi"",""Ruxsat etiladi"",""Agar haydovchining ishlagan davri 2 yildan ortiq bo'lsa, ruxsat etiladi""}","{""Тақиқланади"",""Рухсат этилади"",""Агар ҳайдовчининг ишлаган даври 2 йилдан ортиқ бўлса, рухсат этилади""}",0,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Bu belgidagi ko'k fonda aholi yashaydigan joyning nomi yozilgan qo'shimcha nimani bildiradi?,Бу белгидаги кўк фонда аҳоли яшайдиган жойнинг номи ёзилган қўшимча нимани билдиради?,"{""Avtomobilning faqat orqa o'qiga oldingi boshqaruvchi ko'prik bilan birga ruxsat etiladi"",""Taqiqlanadi"",""Faqat yuk avtomobiliga ruxsat etiladi"",""Ruxsat etiladi""}","{""Автомобилнинг фақат орқа ўқига олдинги бошқарувчи кўприк билан бирга рухсат этилади"",""Тақиқланади"",""Фақат юк автомобилига рухсат этилади"",""Рухсат этилади""}",1,https://ptest.uz/images/4a10fd5b-cfae-4270-8883-b39fef547f8c.webp,Bilet 31-40,300,,,,
Avtopoezdning belgisi qanday holda yoqilgan bo'lishi kerak?,Автопоезднинг белгиси қандай ҳолда ёқилган бўлиши керак?,"{""Tunda yoki yetarli ko'rinmaydigan sharoitda harakat qilganda"",""Faqat avtopoezd harakat qilganda"",""Avtopoezd harakat qilganda, shuningdek, qorong'i vaqtida to'xtaganda va to'xtab turganida"",""Faqat avtopoezd yuk bilan harakat qilganda""}","{""Тунда ёки етарли кўринмайдиган шароитда ҳаракат қилганда"",""Фақат автопоезд ҳаракат қилганда"",""Автопоезд ҳаракат қилганда, шунингдек, қоронғи вақтида тўхтаганда ва тўхтаб турганида"",""Фақат автопоезд юк билан ҳаракат қилганда""}",2,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Aholi punktlarida «Falokat» to'xtash belgisi yoki miltillovchi qizil chiroq mexanik transport vositasidan kamida qanday masofada qo'yilishi kerak?,Аҳоли пунктларида «Фалокат» тўхташ белгиси ёки милтилловчи қизил чироқ механик транспорт воситасидан камида қандай масофада қўйилиши керак?,"{""10 m"",""15 m"",""30 m"",""40 m""}","{""10 м"",""15 м"",""30 м"",""40 м""}",1,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Quvib o'tish qaysi hollardan taqiqlanadi?,Қувиб ўтиш қайси ҳоллардан тақиқланади?,"{""Temir yo'l kesishmalarida va ulargacha 100 m dan kam masofa qolganda"",""Temir yo'l kesishmalarida va ulargacha 100 m dan ko'p masofa qolganda"",""Temir yo'l kesishmalarida va aholi yashaydigan joylardan tashqarida ulardan 100 m ko'p masofa qolganda""}","{""Темир йўл кесишмаларида ва уларгача 100 м дан кам масофа қолганда"",""Темир йўл кесишмаларида ва уларгача 100 м дан кўп масофа қолганда"",""Темир йўл кесишмаларида ва аҳоли яшайдиган жойлардан ташқарида улардан 100 м кўп масофа қолганда""}",0,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Qaysi rasmda harakatlanishning to'g'ri yo'nalishi ko'rsatilgan?,Қайси расмда ҳаракатланишнинг тўғри йўналиши кўрсатилган?,"{""Birinchida"",""Ikkinchida"",""Ikkalasida""}","{""Биринчида"",""Иккинчида"",""Иккаласида""}",1,https://ptest.uz/images/a0e2aef3-1f4b-41b1-a73f-d1ee4f17c81e.webp,Bilet 31-40,300,,,,
Mazkur chiziq nimani bildiradi?,Мазкур чизиқ нимани билдиради?,"{""Harakat svetofor bilan tartibga solib turiladigan piyodalar o'tish joyini"",""Velosiped yo'lkasining qatnov qismini kesib o'tadigan joyni"",""Piyodalar yo'lkasining qatnov qismini kesib o'tadigan joyni""}","{""Ҳаракат светофор билан тартибга солиб туриладиган пиёдалар ўтиш жойини"",""Велосипед йўлкасининг қатнов қисмини кесиб ўтадиган жойни"",""Пиёдалар йўлкасининг қатнов қисмини кесиб ўтадиган жойни""}",1,https://ptest.uz/images/71397e06-ba67-4dc9-94e7-65ee2e971152.webp,Bilet 31-40,300,,,,
Ikkinchi daraja tamirlash yo'li bilan tiklangan shinalarni M1 toifadagi avtotransport vositalariga o'rnatishga ruxsat etiladimi?,Иккинчи даража таъмирлаш йўли билан тикланган шиналарни М1 тоифадаги автотранспорт воситаларига ўрнатишга рухсат этиладими?,"{""Taqiqlanadi"",""Avtomobilning har ikki o'qiga ruxsat etiladi"",""Faqat orqa o'qiga ruxsat etiladi""}","{""Тақиқланади"",""Автомобилнинг ҳар икки ўқига рухсат этилади"",""Фақат орқа ўқига рухсат этилади""}",2,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Sanab o'tilgan hollarning qay birida qatnov qismining o'ng chetidan yoki yo'lning o'ng yoqasidan qayrilishga ruxsat etiladi?,Санаб ўтилган ҳолларнинг қай бирида қатнов қисмининг ўнг четидан ёки йўлнинг ўнг ёқасидан қайрилишга рухсат этилади?,"{""Tartibga solingan chorrahalarda"",""Chorrahalardan tashqarida, agar qatnov qismining kengligi chetki chap holatdan qayrilish uchun yetarli bo'lmasa"",""Tartibga solinmaydigan chorrahalarda, agar qayrilishni amalga oshirayotgan transport vositasi asosiy yo'lda bo'lsa""}","{""Тартибга солинган чорраҳаларда"",""Чорраҳалардан ташқарида, агар қатнов қисмининг кенглиги четки чап ҳолатдан қайрилиш учун етарли бўлмаса"",""Тартибга солинмайдиган чорраҳаларда, агар қайрилишни амалга ошираётган транспорт воситаси асосий йўлда бўлса""}",1,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
«Reaktsiya vaqti» tushunchasi nimani bildiradi?,«Реакция вақти» тушунчаси нимани билдиради?,"{""Haydovchi xavfni ko'rgan paytdan aniq harakatlarni bo'lguncha o'tilgan vaqt"",""Haydovchining tormoz berishni boshlagan paytdan transport vositasining to'la to'xtagunicha vaqtni""}","{""Ҳайдовчи хавфни кўрган пайтдан аниқ ҳаракатларни бўлгунча ўтилган вақт"",""Ҳайдовчининг тормоз беришни бошлаган пайтдан транспорт воситасининг тўла тўхтагунича вақтни""}",0,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
"Agar tegishli belgilar bilan belgilangan qiyaliklarda yuzma-yuz kelayotgan transportlarning o'tib ketishi qiyin bo'lsa, yo'l berish zarur:","Агар тегишли белгилар билан белгиланган қияликларда юзма-юз келаётган транспортларнинг ўтиб кетиши қийин бўлса, йўл бериш зарур:","{""Pastlik tomon harakatlanayotgan transport vositasiga"",""Belgilangan yo'nalishdagi transport vositasiga"",""Balandlikka harakatlanayotgan transport vositasiga""}","{""Пастлик томон ҳаракатланаётган транспорт воситасига"",""Белгиланган йўналишдаги транспорт воситасига"",""Баландликка ҳаракатланаётган транспорт воситасига""}",2,https://ptest.uz/images/d73bcdae-324b-438f-8daf-4c4113235e83.webp,Bilet 31-40,300,,,,
Yo'lning bu qismida quvib o'tishga ruxsat etiladimi?,Йўлнинг бу қисмида қувиб ўтишга рухсат этиладими?,"{""Ruxsat etiladi"",""Taqiqlanadi""}","{""Рухсат этилади"",""Тақиқланади""}",1,https://ptest.uz/images/89042055-f849-47ef-9327-a00729a27051.webp,Bilet 31-40,300,,,,
"Agar yo'l-transport hodisasi natijasida hech kim jabrlanmasa, moddiy zarar esa ahamiyatsiz bo'lsa, haydovchilarning o'zlari hodisa ro'y bergan joyni tark etib, DYHXXning eng yaqin yoki IIO idorasiga hodisani qayd qilish uchun bora oladilarmi?","Агар йўл-транспорт ҳодисаси натижасида ҳеч ким жабрланмаса, моддий зарар эса аҳамиятсиз бўлса, ҳайдовчиларнинг ўзлари ҳодиса рўй берган жойни тарк этиб, ДЙҲХХнинг энг яқин ёки ИИО идорасига ҳодисани қайд қилиш учун бора оладиларми?","{""Bora olmaydilar"",""Bora oladilar"",""Hodisa chizmasini taxminiy tuzib va uni imzolab bora oladilar""}","{""Бора олмайдилар"",""Бора оладилар"",""Ҳодиса чизмасини тахминий тузиб ва уни имзолаб бора оладилар""}",2,https://postimg.cc/Dmfk0bYv,Bilet 31-40,300,,,,
Mazkur svetoforning qizil yoritkichida harakat taqiqlanadi:,Мазкур светофорнинг қизил ёриткичида ҳаракат тақиқланади:,"{""Faqat bir qatorda"",""Qatnov qismining barcha kengligi bo'ylab"",""Quvib o'tish bilan"",""Svetofor qaysi bo'lak ustiga joylashtirilgan bo'lsa, o'sha bo'lak bo'yicha""}","{""Фақат бир қаторда"",""Қатнов қисмининг барча кенглиги бўйлаб"",""Қувиб ўтиш билан"",""Светофор қайси бўлак устига жойлаштирилган бўлса, ўша бўлак бўйича""}",3,https://ptest.uz/images/2c2ca7d6-7544-49fb-bf11-3e8289b84cfa.webp,Bilet 31-40,300,,,,
